Date [UTC], Time [UTC], Illuminance [lux], Temperature [°C], Humidity [%], CO2 [ppm], TVOC [ppb], Latitude [°], Longitude [°], Satellites [-], Speed [m/s], Altitude [m], Roll [°], Pitch [°], Heading [°], Wind speed [m/s], Wind angle [°], Wind temp. [°C]
2023-03-30, 11:33:24.562, 199.92, 15.25, 50.65, 400, 3, 46.52088165, 6.56311560, 10, 0.11, 427.4, 0.2, 0.7, 4.9, 0.7, 83, 17
2023-03-30, 11:33:25.668, 199.92, 15.25, 50.71, 400, 7, 46.52087402, 6.56311655, 10, 0.25, 427.4, 0.4, 0.6, 4.5, 0.6, 65, 17
2023-03-30, 11:33:26.774, 199.92, 15.25, 50.74, 400, 0, 46.52087402, 6.56312037, 10, 0.11, 427.4, 0.2, 0.6, 4.7, 0.7, 69, 17
2023-03-30, 11:33:27.882, 199.92, 15.24, 50.75, 400, 4, 46.52087402, 6.56312180, 10, 0.08, 427.4, 0.0, -3.6, 4.6, 1.1, 69, 17
2023-03-30, 11:33:28.988, 199.92, 15.24, 50.74, 400, 0, 46.52087402, 6.56312180, 10, 0.12, 427.4, 0.2, 0.6, 4.8, 1.8, 98, 17
2023-03-30, 11:33:30.095, 199.92, 15.22, 50.77, 400, 1, 46.52087402, 6.56312180, 10, 0.18, 427.4, 0.0, -3.8, 4.4, 1.5, 64, 17
2023-03-30, 11:33:31.236, 199.92, 15.25, 50.78, 400, 0, 46.52087402, 6.56312466, 10, 0.20, 427.4, 0.3, 0.5, 4.4, 0.9, 77, 17
2023-03-30, 11:33:32.340, 199.92, 15.24, 50.77, 400, 0, 46.52087402, 6.56312656, 10, 0.07, 427.4, 0.4, 0.5, 4.8, 1.2, 77, 17
2023-03-30, 11:33:33.444, 199.92, 15.25, 50.79, 400, 0, 46.52087402, 6.56312656, 10, 0.07, 427.5, 0.2, 0.3, 4.8, 1.6, 50, 17
2023-03-30, 11:33:34.548, 199.92, 15.22, 50.77, 400, 3, 46.52087402, 6.56312847, 10, 0.21, 427.5, 0.0, -3.9, 5.0, 0.8, 69, 17
2023-03-30, 11:33:35.655, 198.56, 15.21, 50.84, 400, 10, 46.52086639, 6.56312656, 10, 0.25, 427.5, 0.0, -3.9, 4.6, 1.0, 66, 17
2023-03-30, 11:33:36.760, 198.56, 15.22, 50.79, 400, 2, 46.52086639, 6.56312656, 10, 0.26, 427.5, 0.2, 0.5, 4.7, 0.9, 23, 17
2023-03-30, 11:33:37.868, 198.56, 15.24, 50.83, 400, 10, 46.52086639, 6.56312370, 10, 0.17, 427.4, 0.4, 0.3, 4.4, 0.7, 22, 17
2023-03-30, 11:33:38.974, 198.56, 15.24, 50.79, 400, 1, 46.52086639, 6.56312180, 10, 0.16, 427.3, 0.3, 0.5, 4.5, 0.5, 44, 17
2023-03-30, 11:33:40.081, 200.79, 15.25, 50.79, 400, 6, 46.52085876, 6.56312180, 10, 0.26, 427.3, 0.4, 0.4, 4.6, 0.9, 55, 17
2023-03-30, 11:33:41.188, 200.79, 15.27, 50.86, 400, 2, 46.52085876, 6.56311846, 10, 0.04, 427.1, 0.3, 0.3, 5.0, 0.7, 32, 17
2023-03-30, 11:33:42.292, 200.79, 15.24, 50.84, 400, 3, 46.52085876, 6.56311846, 9, 0.13, 427.1, 0.3, 0.4, 4.8, 0.6, 13, 17
2023-03-30, 11:33:43.399, 200.79, 15.24, 50.86, 400, 0, 46.52085876, 6.56311655, 9, 0.12, 427.1, 0.3, 0.3, 4.7, 0.1, 89, 17
2023-03-30, 11:33:44.506, 200.79, 15.22, 50.86, 400, 1, 46.52085876, 6.56312037, 9, 0.26, 427.0, 0.4, 0.4, 4.4, 0.6, 40, 16
2023-03-30, 11:33:45.611, 200.79, 15.24, 50.87, 400, 2, 46.52085876, 6.56311655, 9, 0.31, 426.9, 0.3, 0.5, 4.3, 0.7, 51, 16
2023-03-30, 11:33:46.720, 199.43, 15.25, 50.88, 400, 2, 46.52085114, 6.56312037, 9, 0.24, 426.8, 0.3, 0.4, 4.8, 0.6, 27, 17
2023-03-30, 11:33:47.826, 198.07, 15.24, 50.93, 400, 0, 46.52085876, 6.56311846, 10, 0.03, 426.7, 0.2, 0.5, 4.9, 0.7, 0, 17
2023-03-30, 11:34:26.470, 242.19, 15.35, 50.93, 400, 2, 46.52090836, 6.56312847, 10, 0.04, 427.2, 0.0, -0.5, 4.1, 0.4, 289, 16
2023-03-30, 11:34:27.577, 242.19, 15.34, 50.93, 400, 0, 46.52091599, 6.56312943, 10, 0.03, 427.3, 0.0, -0.4, 4.3, 0.5, 269, 16
2023-03-30, 11:34:28.683, 242.19, 15.35, 50.90, 400, 8, 46.52091599, 6.56312847, 10, 0.08, 427.3, 0.2, -0.2, 4.0, 0.5, 284, 16
2023-03-30, 11:34:29.788, 242.19, 15.35, 50.91, 400, 7, 46.52091599, 6.56312847, 10, 0.09, 427.4, 0.4, -0.3, 4.3, 0.4, 269, 16
2023-03-30, 11:34:30.891, 242.19, 15.34, 50.91, 400, 4, 46.52091599, 6.56312847, 10, 0.16, 427.3, 0.3, -0.5, 4.1, 0.6, 269, 16
2023-03-30, 11:34:31.994, 244.42, 15.33, 50.92, 400, 5, 46.52091599, 6.56312847, 10, 0.17, 427.4, 0.3, -0.5, 4.5, 0.6, 276, 16
2023-03-30, 11:34:33.099, 243.06, 15.37, 50.93, 400, 5, 46.52091599, 6.56312943, 10, 0.12, 427.4, 0.3, -0.5, 3.9, 0.9, 269, 16
2023-03-30, 11:34:34.202, 241.70, 15.33, 50.89, 400, 0, 46.52091599, 6.56313467, 10, 0.19, 427.5, 0.2, -0.4, 4.2, 0.8, 287, 16
